,Unnamed: 0,Balikpapan height,Bontang height,Tandjoengbatoe height,Tarakan height,Tawau height,Semporna height,Bongao Island height,Zamboanga height,Pagadian height,General Santos height,Tahuna height,Manado height,Boroko height,Genluma height,Boeol height,Tolotoli height,Palu height,Davao height
8564,860,0.1077650000000005,0.2421600000000001,0.2813822999999997,0.1441599999999994,0.2870923000000012,0.1663638999999999,0.2570699999999988,0.2881050000000016,0.961741,0.6526700000000005,0.2781200000000012,0.4634730000000004,0.4431800000000017,1.0890348999999997,0.5535730000000001,0.7115629999999982,0.1665229999999979,0.3137660000000011
8574,861,0.0750440000000018,0.1713370000000011,0.2271460999999996,0.1072860000000002,0.209188300000001,0.1308272999999999,0.1846539999999983,0.2306120000000007,0.7515149999999977,0.5101200000000006,0.1977799999999945,0.356382,0.3223250000000028,0.8273459000000001,0.4226159999999908,0.5520190000000014,0.1314339999999987,0.2607590000000002
8584,862,0.1317830000000022,0.3225619999999995,0.3408036999999995,0.1754850000000001,0.3504993000000009,0.1963824,0.3162780000000005,0.3554549999999992,1.1602879999999978,0.7887199999999837,0.3384499999999946,0.5566129999999987,0.607721999999999,1.3123585000000002,0.7020179999999954,0.8490849999999988,0.2037279999999981,0.3658190000000019
8594,863,0.0963589999999996,0.2272320000000007,0.2612337,0.1328329999999997,0.2655533000000005,0.1561661999999999,0.2413530000000001,0.2573989999999995,0.8825739999999982,0.6065399999999954,0.2691099999999977,0.4379659999999994,0.4112790000000004,1.0298904000000002,0.5427260000000018,0.6640380000000015,0.1573360000000008,0.2894849999999991
8604,864,0.1050560000000011,0.254665000000001,0.2829601999999998,0.1428599999999988,0.284562300000001,0.1613962999999998,0.2691890000000008,0.2475430000000003,0.8789449999999981,0.6192499999999939,0.2924900000000008,0.5089539999999992,0.5214719999999993,1.0392319,0.6144320000000079,0.7591430000000017,0.1659140000000007,0.2614149999999995
8614,865,0.0749630000000003,0.167390000000001,0.2266135999999994,0.1084560000000003,0.2129773000000003,0.1323891000000001,0.1980940000000011,0.2343560000000053,0.8119200000000006,0.5628700000000038,0.2112900000000053,0.3665020000000005,0.3249239999999993,0.7807653999999999,0.3911809999999889,0.549434999999999,0.1353480000000004,0.2896379999999965
8624,866,0.1258160000000003,0.3009330000000005,0.3328001999999994,0.1689989999999994,0.3415382999999998,0.1890942,0.3203369999999985,0.3176710000000042,1.0555939999999993,0.7563199999999881,0.3579399999999992,0.5528639999999996,0.6324819999999995,1.2341262999999998,0.7420510000000036,0.8174409999999988,0.1735219999999984,0.3192919999999972
8634,867,0.0719220000000007,0.2016039999999996,0.2238973999999993,0.1100119999999993,0.2247803000000008,0.1322641999999998,0.2091460000000005,0.2177560000000014,0.7431589999999986,0.4978299999999933,0.2104199999999991,0.3573509999999977,0.2670600000000007,0.7688907999999994,0.4192680000000024,0.5167600000000014,0.137477000000004,0.2601869999999948
8644,868,0.1005540000000024,0.2620079999999998,0.2876339999999997,0.1422899999999991,0.2892723000000003,0.1606152999999999,0.2748339999999984,0.2355690000000052,0.831669999999999,0.5893899999999803,0.2801900000000046,0.4482520000000001,0.4573739999999979,0.9548398999999996,0.6363680000000045,0.7024770000000018,0.1634630000000001,0.2462760000000017
8654,869,0.0810630000000003,0.1984790000000007,0.2566458999999996,0.1196079999999994,0.2322973000000008,0.1431912999999998,0.2031559999999999,0.2468089999999989,0.8155509999999992,0.5519199999999955,0.2323599999999999,0.4192520000000002,0.4236930000000001,0.9716246999999996,0.457263999999995,0.6170769999999983,0.1477900000000005,0.2653069999999999
8664,870,0.1074020000000004,0.260606000000001,0.2957090999999998,0.1484649999999998,0.3019803000000003,0.1698292000000001,0.2818949999999987,0.2957329999999984,1.0204309999999983,0.6800299999999879,0.2833899999999971,0.4711630000000006,0.3608820000000001,1.0505940999999996,0.5409039999999976,0.7173310000000015,0.1736059999999994,0.3511719999999982
8674,871,0.1262640000000026,0.3203670000000009,0.3503259999999999,0.1726679999999998,0.3566303000000008,0.1918215000000001,0.3460169999999998,0.3269069999999985,1.1087980000000002,0.7259799999999927,0.3088699999999988,0.4934019999999997,0.4094890000000006,1.1097139,0.6879600000000039,0.7741509999999998,0.1851300000000009,0.3718129999999959
8684,872,0.0785180000000025,0.1823160000000001,0.2346884999999998,0.1157579999999995,0.2277313000000003,0.1397176,0.2081939999999988,0.2437620000000038,0.8468499999999999,0.5800699999999779,0.2171200000000084,0.3773969999999984,0.3594139999999974,0.8232538000000007,0.412035000000003,0.5805920000000029,0.1409890000000047,0.2927369999999953
