OBJECTID,Shape_Length,START_X,START_Y,END_X,END_Y,Strike,Lat,Long
192,0.008959065,129.7073949,-8.109192842,129.7161983,-8.107529964,79.30339221,-8.108361403,129.7117966
193,0.008959064,129.7161983,-8.107529964,129.724999,-8.105852895,79.21101701,-8.106691429,129.7205987
194,0.008959064,129.724999,-8.105852895,129.733797,-8.104161639,79.11864059,-8.105007267,129.729398
195,0.008959064,129.733797,-8.104161639,129.7425922,-8.102456202,79.02627409,-8.10330892,129.7381946
196,0.008959064,129.7425922,-8.102456202,129.7513847,-8.100736586,78.93389215,-8.101596394,129.7469885
197,0.008959065,129.7513847,-8.100736586,129.7601744,-8.099002798,78.84152715,-8.099869692,129.7557796
198,0.008959064,129.7601744,-8.099002798,129.7689613,-8.09725484,78.74914375,-8.098128819,129.7645679
199,0.008959064,129.7689613,-8.09725484,129.7777454,-8.095492719,78.65677805,-8.096373779,129.7733533
200,0.008959065,129.7777454,-8.095492719,129.7865266,-8.093716438,78.56440223,-8.094604578,129.782136
201,0.008988686,129.7865266,-8.093716438,129.795332,-8.091910762,78.41138858,-8.0928136,129.7909293
202,0.008988686,129.795332,-8.091910762,129.8041307,-8.090072262,78.19772653,-8.090991512,129.7997314
203,0.008988685,129.8041307,-8.090072262,129.8129224,-8.088200966,77.9840775,-8.089136614,129.8085266
204,0.008988687,129.8129224,-8.088200966,129.8217071,-8.086296897,77.77041263,-8.087248931,129.8173148
205,0.008988686,129.8217071,-8.086296897,129.8304847,-8.084360084,77.556761,-8.08532849,129.8260959
206,0.008988685,129.8304847,-8.084360084,129.8392549,-8.082390553,77.34310361,-8.083375318,129.8348698
207,0.008988687,129.8392549,-8.082390553,129.8480178,-8.080388331,77.12944657,-8.081389442,129.8436364
208,0.008988686,129.8480178,-8.080388331,129.8567731,-8.078353446,76.91578747,-8.079370888,129.8523955
209,0.008988686,129.8567731,-8.078353446,129.8655208,-8.076285927,76.7021338,-8.077319686,129.861147
210,0.008988685,129.8655208,-8.076285927,129.8742607,-8.074185802,76.48847494,-8.075235864,129.8698908
211,0.008988685,129.8742607,-8.074185802,129.8829927,-8.072053101,76.2748218,-8.073119451,129.8786267
212,0.008988686,129.8829927,-8.072053101,129.8917167,-8.069887852,76.06115907,-8.070970476,129.8873547
213,0.008988686,129.8917167,-8.069887852,129.9004326,-8.067690087,75.847507,-8.068788969,129.8960747
214,0.008988686,129.9004326,-8.067690087,129.9091402,-8.065459836,75.63385175,-8.066574961,129.9047864
215,0.008988685,129.9091402,-8.065459836,129.9178394,-8.063197129,75.42018879,-8.064328482,129.9134898
216,0.008988686,129.9178394,-8.063197129,129.9265302,-8.060901999,75.20653847,-8.062049564,129.9221848
217,0.008988685,129.9265302,-8.060901999,129.9352123,-8.058574476,74.99287285,-8.059738237,129.9308712
218,0.008988686,129.9352123,-8.058574476,129.9438856,-8.056214595,74.7792263,-8.057394535,129.939549
219,0.008988685,129.9438856,-8.056214595,129.9525502,-8.053822386,74.5655601,-8.05501849,129.9482179
220,0.008988686,129.9525502,-8.053822386,129.9612057,-8.051397885,74.35191323,-8.052610135,129.9568779
221,0.008988685,129.9612057,-8.051397885,129.9698521,-8.048941123,74.13824688,-8.050169504,129.9655289
222,0.008988687,129.9698521,-8.048941123,129.9784893,-8.046452136,73.9245957,-8.047696629,129.9741707
223,0.008988685,129.9784893,-8.046452136,129.9871172,-8.043930958,73.71093567,-8.045191547,129.9828033
224,0.008988686,129.9871172,-8.043930958,129.9957356,-8.041377624,73.49727879,-8.042654291,129.9914264
225,0.008988686,129.9957356,-8.041377624,130.0043444,-8.03879217,73.28362466,-8.040084897,130.00004
226,0.008988686,130.0043444,-8.03879217,130.0129436,-8.036174632,73.0699703,-8.037483401,130.008644
227,0.008988686,130.0129436,-8.036174632,130.0215329,-8.033525045,72.85630662,-8.034849838,130.0172382
228,0.008988685,130.0215329,-8.033525045,130.0301122,-8.030843448,72.64265689,-8.032184246,130.0258226
